Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
35,female,3,own,little,little,16831,53,education,bad
55,female,2,own,moderate,rich,19967,13,domestic appliances,good
52,male,1,rent,little,little,11333,52,furniture,bad
68,female,2,own,moderate,moderate,443,13,car,good
32,female,2,own,rich,nan,7890,42,repairs,good
42,male,3,rent,nan,moderate,16765,61,education,good
72,female,1,own,little,little,6768,45,vacation/others,bad
54,female,2,own,little,little,9535,48,education,good
45,male,1,own,rich,little,1016,31,car,good
27,female,1,free,moderate,moderate,12210,8,furniture,good
56,female,3,rent,nan,moderate,11235,60,car,good
74,female,0,own,quite rich,little,2668,32,furniture,good
34,female,0,own,quite rich,little,6238,58,business,bad
56,female,2,rent,little,little,13644,26,radio/TV,bad
39,male,0,rent,little,nan,5807,60,radio/TV,bad
43,male,2,own,little,little,5835,21,business,good
61,male,2,own,little,little,12086,29,car,bad
42,female,0,free,quite rich,little,11841,8,radio/TV,bad
34,female,1,own,moderate,little,7363,11,radio/TV,good
30,female,2,own,moderate,nan,15829,22,repairs,good
37,male,1,rent,rich,little,9255,31,car,good
42,female,3,own,moderate,moderate,11690,71,education,good
21,female,2,own,moderate,little,7796,53,car,good
27,female,1,free,rich,moderate,4796,68,radio/TV,good
20,male,0,own,moderate,rich,736,11,radio/TV,good
58,male,3,own,little,little,10132,63,business,bad
62,female,1,own,moderate,little,9120,61,furniture,good
35,female,0,rent,moderate,little,2511,30,education,good
64,female,2,rent,moderate,little,9549,36,car,good
53,male,2,own,little,moderate,6420,49,car,good
64,male,2,rent,little,nan,7213,40,business,good
39,male,1,own,little,little,2491,18,domestic appliances,good
51,female,2,own,little,rich,14123,70,car,bad
64,male,2,rent,moderate,little,806,31,car,good
25,female,2,own,moderate,little,11789,66,car,good
57,female,3,free,moderate,moderate,18289,6,radio/TV,good
66,male,1,rent,little,nan,17600,55,car,bad
61,female,2,own,little,little,8733,47,vacation/others,bad
36,male,3,rent,quite rich,little,925,63,furniture,good
59,female,0,own,moderate,moderate,13694,61,car,bad
58,female,0,rent,rich,rich,19917,17,business,good
54,male,2,own,moderate,rich,6285,9,radio/TV,good
23,female,0,own,moderate,little,16814,22,repairs,bad
69,female,0,rent,quite rich,moderate,16994,65,repairs,bad
43,female,0,rent,nan,little,19105,8,domestic appliances,bad
51,female,1,own,nan,moderate,14709,52,radio/TV,good
73,female,1,own,nan,little,4508,54,car,good
62,female,1,own,rich,little,18489,29,furniture,good
23,female,3,own,moderate,nan,9254,59,radio/TV,good
54,female,2,own,little,moderate,742,21,vacation/others,good
74,male,2,rent,moderate,little,18463,48,car,bad
50,male,0,own,little,rich,720,12,furniture,bad
70,female,2,free,little,moderate,18014,5,radio/TV,good
39,female,2,own,moderate,little,10644,45,furniture,good
38,male,2,rent,quite rich,little,19266,71,car,good
23,female,1,own,moderate,little,3580,34,domestic appliances,good
23,male,1,rent,little,little,11743,22,business,bad
72,male,2,own,moderate,nan,14685,50,car,good
65,male,2,rent,nan,moderate,12763,40,furniture,bad
21,female,2,own,quite rich,rich,13591,22,education,good
47,female,1,own,moderate,moderate,3543,28,vacation/others,good
28,female,1,own,moderate,moderate,1289,56,car,good
47,male,2,own,nan,little,10431,7,radio/TV,good
48,male,0,rent,little,moderate,3015,49,business,bad
41,male,2,own,little,moderate,10705,34,car,good
72,female,3,rent,little,little,861,39,business,bad
26,male,2,own,moderate,moderate,11025,7,business,good
72,male,1,own,little,little,12970,5,repairs,bad
20,female,1,rent,moderate,rich,6951,42,car,good
68,male,2,rent,little,nan,4321,47,car,bad
48,male,2,own,little,moderate,13353,22,radio/TV,good
57,female,1,rent,little,little,19748,44,domestic appliances,bad
54,female,1,rent,nan,moderate,18224,41,domestic appliances,good
53,male,0,rent,moderate,moderate,7835,68,education,good
41,female,2,own,little,nan,19002,38,furniture,good
48,male,2,rent,little,little,14229,14,car,bad
23,female,3,own,moderate,rich,12478,62,radio/TV,bad
19,male,1,rent,moderate,little,18484,46,car,bad
37,female,2,own,moderate,rich,7143,8,business,good
45,male,1,rent,nan,rich,17078,29,furniture,good
28,female,1,rent,moderate,rich,2104,35,radio/TV,good
21,female,2,own,nan,moderate,18323,50,education,good
32,female,1,own,little,moderate,17350,59,radio/TV,good
23,female,1,rent,rich,rich,5637,53,business,good
71,female,2,own,quite rich,moderate,9410,61,business,good
66,female,1,own,little,little,4351,31,car,bad
47,female,0,own,little,nan,2845,58,car,bad
73,male,1,rent,moderate,little,9079,61,car,good
55,male,1,rent,little,moderate,2868,43,car,good
68,female,3,rent,quite rich,little,3801,61,business,good
74,female,0,own,quite rich,little,16753,49,car,bad
19,male,2,own,little,moderate,5309,48,business,good
32,male,0,own,little,moderate,9289,13,vacation/others,good
28,female,1,free,nan,little,17508,51,car,bad
25,male,1,own,little,little,19628,65,radio/TV,bad
43,male,2,own,little,little,14931,31,radio/TV,bad
68,female,0,rent,little,rich,6234,23,repairs,bad
62,female,2,rent,nan,little,10306,44,car,bad
61,female,1,own,quite rich,nan,1570,9,business,good
22,male,3,own,moderate,little,10180,14,vacation/others,good
23,female,2,own,little,nan,4270,33,radio/TV,good
43,female,2,rent,moderate,moderate,2925,6,car,good
71,male,2,own,little,little,16601,36,furniture,bad
21,female,2,rent,quite rich,little,19295,57,vacation/others,bad
36,male,2,own,little,rich,9813,50,car,good
37,male,1,rent,moderate,nan,14513,13,radio/TV,good
50,male,0,own,moderate,nan,16908,22,car,good
37,male,2,own,little,little,11119,12,repairs,bad
66,male,1,rent,nan,little,19770,10,radio/TV,good
29,male,1,rent,little,little,318,64,repairs,good
64,female,1,rent,little,little,19408,17,repairs,bad
18,female,1,rent,rich,little,4654,5,radio/TV,good
43,female,2,own,little,moderate,18828,25,repairs,good
31,male,0,own,little,moderate,9019,63,car,bad
55,female,3,own,moderate,moderate,4521,48,car,good
54,male,3,free,little,little,15163,23,education,good
28,female,3,own,nan,little,10690,29,radio/TV,good
53,male,1,own,little,little,15627,62,vacation/others,bad
30,female,1,own,little,rich,14368,71,business,bad
60,male,3,rent,rich,nan,11640,42,education,good
20,female,3,rent,little,little,7106,26,repairs,good
50,male,2,free,nan,little,16101,28,furniture,good
23,female,1,own,little,little,6008,56,car,bad
67,male,1,rent,little,moderate,9616,14,radio/TV,good
73,female,2,own,little,little,1434,28,car,good
27,female,1,own,little,little,16863,34,car,good
22,female,2,own,moderate,little,7348,49,furniture,good
40,male,2,own,little,moderate,10387,30,education,good
27,male,2,rent,moderate,little,9287,66,car,good
61,male,1,free,little,moderate,4038,50,business,good
19,male,1,own,little,moderate,14031,17,radio/TV,good
30,male,3,free,little,rich,8868,26,furniture,good
57,female,2,own,moderate,little,6185,19,car,good
19,male,2,own,little,little,11595,23,business,bad
37,female,2,own,little,rich,9869,6,furniture,good
18,female,2,own,rich,little,2204,9,furniture,good
54,male,2,own,little,little,1306,32,radio/TV,good
26,female,1,rent,little,little,13287,7,furniture,good
34,male,1,rent,little,rich,2890,68,radio/TV,good
26,male,1,rent,little,little,3164,11,radio/TV,good
28,male,0,own,quite rich,moderate,763,51,furniture,good
32,female,1,rent,little,little,4677,19,vacation/others,good
41,male,0,rent,moderate,little,16211,50,furniture,bad
55,male,2,free,moderate,moderate,782,34,car,good
72,male,1,own,nan,moderate,14869,32,vacation/others,good
52,female,0,free,little,little,4176,71,car,bad
47,male,0,rent,moderate,little,12841,46,radio/TV,bad
48,female,2,rent,little,moderate,3161,37,business,good
66,female,0,own,moderate,little,19902,9,car,bad
22,male,1,own,moderate,little,1527,52,car,bad
61,female,0,own,little,rich,17500,63,radio/TV,bad
67,female,2,own,moderate,moderate,8179,54,radio/TV,good
31,male,3,own,moderate,little,16357,12,car,good
70,male,3,free,little,little,12912,8,furniture,bad
73,male,1,own,little,little,15932,67,car,bad
28,female,2,own,little,rich,6050,19,car,good
26,male,1,own,little,rich,5393,62,education,good
51,female,1,own,little,little,2406,59,car,good
29,female,1,own,moderate,rich,10699,68,education,good
52,female,0,own,little,nan,9875,38,vacation/others,bad
52,female,2,own,little,nan,2299,13,car,good
18,female,1,rent,moderate,nan,10263,50,car,bad
57,male,1,own,moderate,rich,11232,38,vacation/others,good
39,male,1,rent,nan,little,19447,65,education,bad
46,female,1,free,rich,little,17768,36,business,good
25,female,2,own,quite rich,rich,8003,18,business,good
28,male,2,rent,little,little,14797,38,education,bad
58,male,2,own,moderate,little,2226,13,vacation/others,good
54,female,1,own,moderate,little,16239,23,car,good
31,female,0,own,quite rich,moderate,9698,11,radio/TV,good
47,male,1,own,little,little,3263,11,education,good
52,male,3,free,moderate,little,5233,16,education,good
38,female,3,own,moderate,moderate,12748,62,car,good
54,male,2,own,little,nan,19003,50,domestic appliances,good
22,male,1,own,moderate,little,16840,63,business,bad
36,female,0,own,little,moderate,15243,44,car,bad
31,female,1,free,moderate,little,4410,55,radio/TV,good
43,female,2,own,moderate,little,17656,57,car,bad
21,male,2,own,little,little,14461,39,furniture,bad
42,female,2,own,rich,rich,2774,16,radio/TV,good
62,male,2,own,rich,nan,16605,14,radio/TV,good
59,female,0,own,little,moderate,14580,11,radio/TV,bad
42,female,0,own,little,little,9906,34,radio/TV,bad
35,male,0,own,moderate,rich,15328,65,radio/TV,bad
57,male,1,rent,moderate,little,4638,15,car,good
25,female,1,own,moderate,little,6630,14,car,good
56,female,2,rent,quite rich,rich,18475,20,radio/TV,good
57,male,2,free,nan,rich,6095,30,education,good
31,female,1,free,moderate,rich,8286,16,radio/TV,good
49,male,0,own,little,moderate,6815,47,radio/TV,bad
68,male,0,free,moderate,rich,4775,61,vacation/others,good
55,female,2,rent,moderate,little,9961,33,education,good
50,male,1,rent,rich,little,4638,16,repairs,good
40,male,1,own,little,rich,3092,11,car,good
32,male,2,own,moderate,little,9722,67,furniture,good
50,female,1,free,moderate,little,5782,55,furniture,good
42,male,1,own,moderate,rich,4726,9,education,good
34,female,2,own,little,rich,16858,57,repairs,good
50,female,2,own,rich,little,14358,25,car,good
64,female,2,free,moderate,little,5663,66,car,good
72,male,1,own,rich,rich,15105,40,education,good
19,male,1,free,little,rich,9048,59,furniture,good
31,female,2,own,moderate,rich,15262,44,car,good
70,female,1,own,nan,moderate,12980,63,vacation/others,good
57,male,2,own,nan,little,2905,23,car,good
57,female,2,rent,nan,moderate,5651,48,car,good
68,female,3,own,little,little,13481,61,furniture,bad
56,male,1,own,moderate,little,15722,40,business,bad
68,female,0,own,little,little,12804,42,radio/TV,bad
23,male,1,own,little,little,12048,6,furniture,bad
23,male,2,rent,little,little,3227,41,car,bad
20,female,1,own,moderate,little,1050,49,car,bad
24,male,0,own,quite rich,moderate,19146,52,car,bad
68,male,0,own,moderate,little,1242,37,business,bad
25,male,1,own,quite rich,little,15093,29,car,good
59,female,0,free,little,moderate,6506,5,business,good
69,female,0,own,rich,little,7734,59,car,bad
32,female,2,own,little,moderate,16133,10,repairs,good
64,male,0,own,moderate,moderate,16355,39,education,bad
46,male,0,rent,moderate,rich,2275,43,furniture,good
50,female,2,own,rich,little,18408,29,furniture,good
69,female,2,own,nan,moderate,5027,19,car,good
47,male,1,rent,little,moderate,11468,12,car,good
56,female,0,rent,little,moderate,3506,25,repairs,good
44,female,2,own,moderate,nan,18816,8,car,good
53,female,1,own,moderate,moderate,943,46,car,good
46,female,0,own,moderate,little,10125,33,furniture,bad
55,female,0,rent,little,moderate,12349,35,vacation/others,bad
74,male,0,free,quite rich,nan,19580,20,radio/TV,bad
50,female,1,own,little,nan,13003,70,furniture,good
54,female,2,rent,little,nan,17657,29,vacation/others,good
44,male,2,own,little,little,9907,15,education,good
72,male,1,rent,nan,little,8468,40,repairs,good
50,male,1,rent,little,little,1021,45,car,bad
21,male,2,rent,quite rich,little,6713,60,business,bad
39,female,1,own,little,little,18511,15,domestic appliances,bad
19,female,1,own,moderate,rich,17827,49,radio/TV,good
27,female,2,rent,nan,moderate,1865,30,furniture,good
22,female,2,own,little,moderate,2716,10,car,good
27,male,1,own,rich,little,3437,41,radio/TV,good
50,male,2,own,nan,little,2248,51,car,good
71,female,1,own,moderate,rich,14654,45,furniture,good
55,female,1,rent,little,moderate,5656,30,education,good
30,female,0,own,rich,moderate,15268,13,education,good
48,female,2,own,rich,little,8024,45,education,good
64,male,2,own,nan,little,11458,61,radio/TV,bad
53,female,2,rent,rich,little,2758,44,car,good
62,male,0,free,moderate,little,1252,12,car,bad
41,male,0,own,moderate,moderate,398,49,radio/TV,good
69,male,1,own,moderate,little,18535,57,vacation/others,bad
73,male,1,own,little,nan,10682,62,car,bad
32,female,1,own,moderate,moderate,11746,16,education,good
46,female,3,rent,quite rich,moderate,18374,19,furniture,good
25,female,2,own,moderate,little,4507,48,car,good
22,female,1,own,rich,little,19657,35,car,good
46,male,0,own,little,moderate,5827,43,education,bad
64,male,0,free,little,nan,13090,47,car,bad
21,male,2,rent,little,little,14747,50,car,bad
29,female,2,rent,little,moderate,14738,63,furniture,bad
62,male,2,own,moderate,little,8821,38,education,good
19,male,1,own,nan,rich,7855,63,furniture,good
44,male,0,rent,moderate,moderate,8306,40,furniture,good
48,male,3,own,little,little,10255,25,business,good
68,female,3,rent,little,moderate,17334,16,car,good
68,male,1,own,moderate,nan,9591,19,business,good
53,male,0,own,little,moderate,8123,63,radio/TV,bad
53,female,1,own,moderate,little,15526,45,radio/TV,good
43,female,2,rent,little,little,5569,16,furniture,good
60,female,2,own,little,nan,5594,66,car,good
44,male,2,rent,quite rich,moderate,17214,35,car,good
22,male,0,rent,moderate,little,15801,26,furniture,bad
37,male,0,free,little,little,12476,46,education,bad
28,male,0,own,nan,nan,1519,35,domestic appliances,good
27,female,3,own,little,moderate,8853,31,business,good
57,male,1,free,little,little,10238,36,business,bad
55,male,2,own,quite rich,little,5893,29,car,good
23,female,0,own,quite rich,nan,11045,45,car,bad
25,female,3,own,little,moderate,7507,32,repairs,good
40,female,2,own,moderate,little,1735,5,domestic appliances,good
64,male,1,own,little,moderate,19996,37,car,bad
43,male,2,rent,nan,little,12906,41,radio/TV,bad
63,male,1,rent,moderate,rich,17929,15,furniture,good
60,male,1,own,little,little,16420,55,car,bad
29,male,1,rent,little,little,2441,24,business,good
43,female,3,own,moderate,little,7494,43,repairs,good
30,female,3,own,moderate,little,13057,70,repairs,bad
57,male,1,free,rich,little,6483,52,furniture,good
35,male,2,own,nan,little,10865,29,business,good
42,male,2,rent,little,little,8318,55,radio/TV,good
50,male,2,own,rich,rich,3295,65,vacation/others,good
64,male,1,rent,moderate,rich,3515,64,vacation/others,good
57,female,1,own,moderate,little,6167,49,business,good
60,female,2,own,moderate,moderate,15091,32,radio/TV,good
29,female,0,own,little,moderate,7000,53,repairs,bad
61,male,1,own,little,little,760,5,car,good
53,male,2,own,rich,little,2618,67,car,good
65,female,1,rent,moderate,moderate,1749,69,radio/TV,good
21,female,3,own,nan,little,7208,46,business,good
22,male,0,rent,little,moderate,7768,13,car,bad
73,female,3,own,little,moderate,1105,56,business,bad
54,female,1,own,little,little,18584,31,repairs,bad
25,male,0,free,moderate,moderate,4277,5,radio/TV,good
59,female,1,free,nan,little,19950,32,car,good
66,female,2,own,little,little,16995,55,radio/TV,bad
45,female,2,rent,moderate,moderate,15023,17,car,good
48,male,1,own,moderate,rich,14426,31,furniture,good
26,female,0,own,quite rich,little,19967,4,education,bad
71,female,2,own,moderate,little,16186,62,furniture,bad
68,female,1,free,moderate,rich,5318,47,radio/TV,good
46,male,2,free,quite rich,rich,19230,46,radio/TV,good
31,male,0,own,little,nan,5340,20,furniture,good
57,female,2,rent,nan,little,13541,57,car,bad
58,male,2,rent,rich,little,7651,18,radio/TV,good
39,female,3,own,little,nan,11714,51,radio/TV,good
28,male,2,rent,quite rich,little,4242,49,furniture,good
40,male,1,own,quite rich,little,11051,52,car,bad
18,female,0,own,rich,little,13045,39,car,bad
63,female,2,rent,little,little,9332,17,business,good
54,female,1,own,quite rich,little,14562,6,radio/TV,good
38,male,2,own,little,little,19480,9,vacation/others,bad
43,female,2,own,little,nan,1945,25,vacation/others,good
63,male,1,rent,quite rich,moderate,9257,25,radio/TV,good
53,male,1,own,rich,little,7628,39,radio/TV,good
71,female,1,own,moderate,moderate,748,53,car,good
40,male,1,rent,moderate,moderate,1930,38,furniture,good
74,female,0,own,quite rich,rich,11702,12,business,bad
18,male,1,rent,nan,little,9778,32,vacation/others,good
71,female,1,own,moderate,moderate,12991,30,radio/TV,good
72,male,1,own,little,little,498,60,radio/TV,bad
68,male,0,own,rich,moderate,10138,62,repairs,bad
57,female,0,own,little,moderate,17292,45,car,bad
32,male,0,free,little,little,15368,56,radio/TV,bad
38,female,2,own,moderate,moderate,938,41,radio/TV,good
64,male,1,rent,moderate,moderate,10719,7,car,good
26,male,1,own,moderate,little,18333,55,business,good
70,male,2,rent,rich,little,473,47,car,good
26,female,3,free,little,little,2009,26,car,good
27,female,0,own,little,moderate,16687,63,radio/TV,bad
69,female,1,own,little,little,13597,7,car,bad
74,female,1,free,little,rich,5934,6,furniture,good
70,female,1,rent,moderate,little,17333,26,car,bad
43,male,3,own,little,little,17219,40,radio/TV,bad
58,male,2,own,rich,moderate,4634,21,furniture,good
52,female,2,own,quite rich,little,1701,8,vacation/others,good
69,male,1,rent,moderate,moderate,560,44,education,good
42,male,2,rent,little,little,19139,41,repairs,bad
43,male,0,free,moderate,little,14117,50,business,bad
28,male,1,own,moderate,rich,14636,15,business,good
55,female,1,own,little,little,17756,33,domestic appliances,bad
19,male,1,own,quite rich,little,591,9,car,good
24,female,1,own,little,little,13100,64,furniture,bad
35,female,2,own,nan,moderate,9424,67,domestic appliances,good
44,male,0,own,moderate,little,16262,14,car,bad
51,female,0,rent,rich,little,5673,65,car,bad
44,male,1,own,moderate,little,14456,20,radio/TV,good
34,male,1,own,moderate,little,10091,23,repairs,good
60,male,2,free,moderate,rich,18344,29,business,good
61,female,2,free,rich,rich,18216,62,business,good
68,female,2,own,moderate,nan,14851,28,furniture,good
71,female,1,free,quite rich,little,13480,21,radio/TV,good
41,male,2,own,little,little,16549,32,business,bad
42,male,2,own,little,little,7034,70,business,good
24,male,1,rent,little,little,8806,38,radio/TV,bad
69,female,1,rent,quite rich,moderate,17802,18,business,good
23,male,2,rent,little,nan,8586,54,car,good
70,male,0,rent,quite rich,little,6560,6,repairs,good
41,female,1,own,little,little,1316,24,domestic appliances,good
50,female,0,own,little,little,17605,64,car,bad
66,female,0,own,moderate,rich,10018,6,furniture,bad
46,male,0,own,little,moderate,7432,56,repairs,bad
60,male,1,own,moderate,nan,12666,38,radio/TV,good
39,male,2,own,moderate,moderate,12591,53,car,good
43,female,1,rent,little,moderate,12228,11,vacation/others,good
45,female,2,rent,rich,little,8574,51,furniture,good
67,female,1,rent,moderate,nan,12087,6,radio/TV,good
38,female,3,own,moderate,moderate,1516,57,radio/TV,good
66,male,3,rent,rich,moderate,459,5,business,good
24,male,2,rent,little,little,6776,36,domestic appliances,bad
34,male,3,free,little,little,11723,15,education,bad
37,male,2,own,moderate,little,9255,22,repairs,good
58,male,2,own,moderate,little,3699,21,car,good
66,male,1,free,little,nan,2381,53,repairs,good
37,male,1,free,little,rich,6377,25,car,good
71,male,2,own,moderate,rich,15248,33,domestic appliances,good
39,female,1,own,little,moderate,18329,9,car,good
45,female,2,rent,little,little,18143,4,education,bad
57,male,2,own,little,little,10400,12,business,good
66,female,1,rent,moderate,little,6475,55,furniture,good
24,male,2,own,little,nan,7194,32,car,good
18,male,0,own,moderate,little,15795,65,furniture,bad
49,female,1,own,rich,moderate,15317,32,car,good
30,male,1,own,quite rich,moderate,1478,8,education,good
47,male,1,own,rich,moderate,11004,25,education,good
40,male,1,own,moderate,nan,4461,52,car,good
68,male,1,own,moderate,little,3668,11,education,good
73,male,1,own,little,rich,2698,71,car,good
36,male,2,own,little,moderate,4644,43,car,good
49,male,2,own,little,nan,13047,27,furniture,good
47,female,1,free,little,nan,1257,16,radio/TV,good
46,female,1,own,nan,little,8653,53,car,good
66,male,2,own,nan,little,5478,48,radio/TV,good
62,female,2,own,little,rich,8347,7,business,good
46,male,1,rent,moderate,little,14537,66,furniture,bad
47,male,0,own,moderate,little,4320,68,education,bad
33,male,2,own,moderate,moderate,4143,30,car,good
57,male,2,own,moderate,moderate,18027,66,radio/TV,good
36,female,0,rent,little,moderate,11018,14,business,bad
35,female,1,rent,moderate,moderate,9705,45,education,good
18,female,1,own,moderate,moderate,15309,41,business,good
31,female,2,own,moderate,moderate,9454,65,education,good
68,male,1,own,moderate,nan,17429,7,car,good
64,female,1,own,nan,little,17837,37,car,bad
67,male,0,rent,rich,little,19977,29,vacation/others,bad
19,male,3,own,moderate,little,12622,57,radio/TV,bad
71,female,2,own,little,nan,6142,30,education,good
45,male,2,own,moderate,little,16104,42,education,bad
66,female,2,rent,quite rich,moderate,3622,24,car,good
67,female,1,rent,little,little,670,57,radio/TV,bad
47,female,3,free,moderate,nan,2507,59,radio/TV,good
55,female,0,own,little,nan,6329,66,business,bad
68,female,2,own,little,rich,311,45,vacation/others,good
21,male,1,own,little,little,19812,29,car,bad
18,female,1,own,little,little,18180,23,car,bad
25,female,1,own,moderate,little,6223,56,radio/TV,good
46,male,2,own,rich,little,10192,71,car,good
72,female,2,own,moderate,little,7804,8,furniture,good
56,female,1,free,moderate,little,8620,19,car,good
20,male,1,rent,quite rich,little,5859,12,car,good
49,male,3,own,little,rich,14258,28,car,good
27,female,1,own,little,rich,1660,60,car,good
27,male,2,own,little,little,14972,41,furniture,bad
36,female,2,own,quite rich,nan,11041,11,repairs,good
63,male,1,own,moderate,little,8777,68,car,good
51,female,0,own,little,little,16440,34,business,bad
50,female,1,free,moderate,little,15869,36,education,good
40,female,1,own,nan,nan,13258,58,furniture,good
72,male,0,own,little,little,16844,39,repairs,bad
45,female,0,rent,moderate,nan,10109,27,education,good
49,male,1,own,little,little,18088,64,car,bad
67,female,2,own,moderate,rich,5280,31,car,good
24,female,2,own,moderate,little,16205,63,furniture,bad
46,female,0,rent,quite rich,moderate,690,42,vacation/others,good
25,female,1,own,moderate,nan,9096,34,car,good
18,female,1,own,moderate,nan,12784,4,furniture,good
74,male,1,free,little,rich,6754,16,radio/TV,good
72,male,2,own,little,little,917,69,furniture,bad
20,male,1,rent,moderate,moderate,6409,45,education,good
41,female,2,rent,little,rich,10879,40,education,bad
40,female,1,own,little,little,14933,60,car,bad
25,male,2,rent,little,moderate,15513,38,furniture,bad
71,female,1,rent,little,little,10442,40,business,bad
74,female,2,free,little,little,3872,23,radio/TV,bad
64,female,3,own,quite rich,moderate,14631,69,radio/TV,good
54,male,2,free,little,little,19144,26,education,good
20,male,2,own,moderate,little,1643,58,education,good
68,male,0,rent,moderate,little,7819,60,business,bad
50,male,3,own,rich,moderate,6887,53,car,good
45,male,0,own,moderate,moderate,18189,41,radio/TV,bad
64,female,1,own,rich,little,3664,50,education,good
25,female,0,own,little,nan,6526,33,education,good
51,female,3,own,moderate,little,3639,71,repairs,good
52,female,2,own,little,moderate,18528,46,furniture,good
49,male,3,own,quite rich,little,12805,30,business,good
41,male,2,own,little,little,6986,67,business,bad
31,female,1,own,little,moderate,11468,9,car,good
49,male,3,own,little,moderate,6617,34,car,good
73,female,3,rent,rich,rich,9353,32,repairs,good
63,female,1,rent,little,rich,1221,6,furniture,good
60,female,0,own,moderate,little,7658,23,furniture,good
33,female,2,own,nan,moderate,4097,61,radio/TV,good
21,male,3,rent,little,little,16158,60,furniture,bad
69,female,2,own,nan,rich,17070,7,education,good
54,male,2,own,little,moderate,19921,45,car,bad
71,female,3,own,rich,little,18218,37,radio/TV,bad
38,female,2,free,nan,moderate,7406,21,radio/TV,good
31,female,2,own,nan,nan,4562,68,business,good
48,female,2,rent,moderate,little,13108,28,domestic appliances,good
72,male,1,own,rich,little,1845,48,education,good
65,female,2,rent,little,moderate,10567,17,car,bad
35,male,1,own,moderate,little,19824,14,radio/TV,good
24,female,2,own,little,moderate,17976,55,radio/TV,bad
27,female,1,own,little,little,10104,11,car,good
24,female,0,free,quite rich,nan,11720,63,repairs,bad
50,male,0,own,little,rich,5691,45,car,bad
40,female,2,own,nan,nan,11086,19,business,good
38,female,1,rent,moderate,little,7594,42,furniture,good
36,female,1,own,rich,little,10799,45,repairs,good
65,female,0,own,rich,little,6133,21,radio/TV,bad
36,female,1,own,quite rich,moderate,10382,10,education,good
53,male,0,own,little,nan,19785,7,education,bad
46,male,1,own,moderate,rich,7309,33,education,good
35,female,1,rent,little,moderate,9449,53,car,good
19,female,1,own,little,moderate,13267,48,radio/TV,bad
18,male,1,rent,little,nan,8330,34,domestic appliances,good
64,female,1,own,moderate,rich,1285,49,business,good
22,male,2,own,little,moderate,15302,57,repairs,bad
37,female,1,own,moderate,moderate,17783,49,furniture,good
28,female,1,rent,moderate,little,14933,8,radio/TV,good
59,male,0,own,little,rich,7489,13,business,good
19,female,1,rent,moderate,rich,8881,26,furniture,good
20,male,0,rent,moderate,little,1035,10,business,bad
40,male,0,own,nan,little,14573,61,radio/TV,bad
72,male,2,own,little,rich,19236,50,car,bad
29,female,2,own,moderate,moderate,12745,24,radio/TV,good
37,male,1,rent,moderate,moderate,6867,34,car,good
22,male,2,own,nan,little,1608,30,education,good
54,female,0,rent,moderate,moderate,10566,32,radio/TV,good
55,female,3,own,moderate,moderate,9615,13,education,good
47,female,0,rent,little,little,11061,12,radio/TV,bad
26,female,2,own,little,nan,462,14,business,good
51,female,0,own,little,moderate,7992,25,vacation/others,good
70,female,2,free,quite rich,rich,8470,53,radio/TV,good
61,male,1,rent,moderate,little,3194,43,radio/TV,good
52,female,0,own,little,rich,7930,69,car,bad
69,male,2,rent,moderate,moderate,6466,66,vacation/others,good
39,female,0,rent,little,little,18887,22,radio/TV,bad
61,male,2,own,quite rich,little,3989,19,car,good
41,male,2,own,rich,little,14580,7,furniture,good
34,female,1,own,rich,little,9691,52,car,good
27,female,1,free,little,little,10065,41,radio/TV,bad
47,male,0,own,moderate,moderate,15671,10,car,bad
73,female,2,own,nan,little,14331,58,furniture,bad
63,female,1,own,moderate,rich,8127,17,car,good
40,male,1,own,little,moderate,19337,37,business,bad
49,male,3,own,moderate,little,8173,24,business,good
34,male,1,own,moderate,little,334,39,car,good
67,female,3,own,little,nan,5116,66,business,good
68,female,2,free,little,nan,13804,45,car,bad
34,female,1,free,moderate,little,12942,52,car,good
31,female,1,own,rich,moderate,3364,13,car,good
26,male,2,own,nan,nan,3922,24,car,good
57,female,1,rent,little,nan,6174,66,furniture,good
19,male,0,own,quite rich,little,1623,53,vacation/others,bad
62,female,0,rent,little,moderate,9905,30,domestic appliances,bad
42,female,2,rent,nan,moderate,5261,11,furniture,good
56,male,2,rent,little,little,6202,33,business,good
26,female,1,own,little,rich,12558,33,business,good
71,female,0,free,little,little,19286,21,car,bad
39,male,2,rent,moderate,little,18724,26,car,good
60,female,3,rent,little,little,546,41,education,bad
63,male,0,own,quite rich,little,1380,33,car,bad
21,male,0,rent,moderate,little,19618,33,repairs,bad
43,male,2,own,moderate,nan,9158,42,car,good
46,male,2,own,little,little,13173,20,business,bad
62,female,2,own,little,little,11626,55,business,bad
51,female,3,free,little,little,16277,16,radio/TV,bad
40,female,2,rent,moderate,little,9749,10,car,good
54,male,1,rent,moderate,moderate,4676,71,car,good
28,female,2,own,little,rich,9303,63,business,good
23,female,2,own,moderate,nan,14870,49,furniture,good
35,female,3,rent,little,moderate,15339,38,furniture,bad
38,female,1,own,moderate,little,16049,32,car,good
59,male,1,rent,nan,little,15858,37,car,good
53,male,2,own,little,moderate,19118,11,furniture,good
58,female,1,rent,quite rich,moderate,9539,69,education,good
55,male,1,rent,quite rich,moderate,17204,7,car,good
51,female,2,own,moderate,moderate,17948,69,car,good
34,female,1,own,moderate,little,9389,60,car,good
